Modelo,FPR,TPR
Random Forest,0.0016128526044518218,0.00765188531391168
Random Forest,0.002512562814070352,0.01120125380289481
Random Forest,0.003712176426895058,0.014750622291877938
Random Forest,0.005012920257079987,0.018023416612888355
Random Forest,0.00606083854386436,0.021618880796533603
Random Forest,0.007243015912316614,0.025168249285516732
Random Forest,0.008606530222242371,0.028625426385175623
Random Forest,0.010008404269787522,0.03226698626348299
Random Forest,0.011256839366855094,0.035678067668479765
Random Forest,0.012629071798967077,0.03918134046280077
Random Forest,0.014158230430431129,0.04263851756245966
Random Forest,0.015514770242607905,0.04600350327279432
Random Forest,0.0168643355570357,0.04950677606711533
Random Forest,0.01821564449590074,0.05305614455609846
Random Forest,0.019884293082344406,0.056375034571770996
Random Forest,0.021544223546601852,0.059693924587443534
Random Forest,0.02275778615492452,0.06315110168710242
Random Forest,0.024138736709222727,0.06665437448142343
Random Forest,0.02573589669373934,0.0702959343597308
Random Forest,0.027338287551567694,0.07370701576472757
Random Forest,0.028503028675647496,0.07711809716972434
